CONC,Limite
ABRANTES,Não
AGUEDA,Sim
AGUIAR DA BEIRA,Não
ALANDROAL,Não
ALBERGARIA-A-VELHA,Sim
ALBUFEIRA,Não
ALCACER DO SAL,Sim
ALCANENA,Não
ALCOBACA,Não
ALCOCHETE,Não
ALCOUTIM,Não
ALENQUER,Sim
ALFANDEGA DA FE,Não
ALIJO,Não
ALJEZUR,Não
ALJUSTREL,Não
ALMADA,Não
ALMEIDA,Não
ALMEIRIM,Sim
ALMODOVAR,Sim
ALPIARCA,Não
ALTER DO CHAO,Não
ALVAIAZERE,Não
ALVITO,Não
AMADORA,Sim
AMARANTE,Sim
AMARES,Sim
ANADIA,Sim
ANGRA DO HEROISMO,Sim
ANSIAO,Não
ARCOS DE VALDEVEZ,Não
ARGANIL,Não
ARMAMAR,Sim
AROUCA,Não
ARRAIOLOS,Sim
ARRONCHES,Não
ARRUDA DOS VINHOS,Não
AVEIRO,Sim
AVIS,Sim
AZAMBUJA,Não
BAIAO,Não
BARCELOS,Sim
BARRANCOS,Não
BARREIRO,Não
BATALHA,Sim
BEJA,Não
BELMONTE,Sim
BENAVENTE,Sim
BOMBARRAL,Não
BORBA,Sim
BOTICAS,Não
BRAGA,Sim
BRAGANCA,Não
CABECEIRAS DE BASTO,Não
CADAVAL,Não
CALDAS DA RAINHA,Sim
CALHETA (R.A.A.),Sim
CALHETA (R.A.M.),Sim
CAMARA DE LOBOS,Não
CAMINHA,Não
CAMPO MAIOR,Não
CANTANHEDE,Não
CARRAZEDA DE ANSIAES,Não
CARREGAL DO SAL,Não
CARTAXO,Não
CASCAIS,Sim
CASTANHEIRA DE PERA,Não
CASTELO BRANCO,Não
CASTELO DE PAIVA,Sim
CASTELO DE VIDE,Sim
CASTRO DAIRE,Não
CASTRO MARIM,Não
CASTRO VERDE,Não
CELORICO DA BEIRA,Não
CELORICO DE BASTO,Não
CHAMUSCA,Sim
CHAVES,Não
CINFAES,Sim
COIMBRA,Sim
CONDEIXA-A-NOVA,Sim
CONSTANCIA,Não
CORUCHE,Sim
CORVO,Sim
COVILHA,Sim
CRATO,Não
CUBA,Sim
ELVAS,Não
ENTRONCAMENTO,Não
ESPINHO,Sim
ESPOSENDE,Não
ESTARREJA,Sim
ESTREMOZ,Não
EVORA,Sim
FAFE,Não
FARO,Sim
FEIRA,Não
FELGUEIRAS,Não
FERREIRA DO ALENTEJO,Não
FERREIRA DO ZEZERE,Não
FIGUEIRA DA FOZ,Não
FIGUEIRA DE CASTELO RODRIGO,Não
FIGUEIRO DOS VINHOS,Sim
FORNOS DE ALGODRES,Sim
FREIXO DE ESPADA A CINTA,Não
FRONTEIRA,Não
FUNCHAL,Não
FUNDAO,Sim
GAVIAO,Sim
GOIS,Não
GOLEGA,Não
GONDOMAR,Não
GOUVEIA,Sim
GRANDOLA,Sim
