Concelho;Taxa_criminalidade
ARCOS DE VALDEVEZ;30,9
CAMINHA;35,6
MELGACO;41,9
MONCAO;18,3
PAREDES DE COURA;27,7
PONTE DA BARCA;29
PONTE DE LIMA;22,4
VALENCA;36,7
VIANA DO CASTELO;29
VILA NOVA DE CERVEIRA;35
AMARES;17,9
BARCELOS;16,3
BRAGA;23
ESPOSENDE;26,8
TERRAS DE BOURO;32,4
VILA VERDE;26,9
CABECEIRAS DE BASTO;22,4
FAFE;26,5
GUIMARAES;19,4
MONDIM DE BASTO;23,8
POVOA DE LANHOSO;25,2
VIEIRA DO MINHO;22
VILA NOVA DE FAMALICAO;20,2
VIZELA;16,6
AGUEDA;29,8
ALBERGARIA-A-VELHA;31,7
ANADIA;22,7
AVEIRO;31,6
ESTARREJA;31,1
ILHAVO;33,9
MURTOSA;31,3
OLIVEIRA DO BAIRRO;34,5
OVAR;27,1
SEVER DO VOUGA;24,6
VAGOS;22
ARGANIL;21,3
CANTANHEDE;30,9
COIMBRA;27,3
CONDEIXA-A-NOVA;11,8
FIGUEIRA DA FOZ;25,7
GOIS;25,1
LOUSA;17,2
MEALHADA;25
MIRA;25,6
MIRANDA DO CORVO;16,7
MONTEMOR-O-VELHO;16,9
MORTAGUA;23,1
OLIVEIRA DO HOSPITAL;19,3
PAMPILHOSA DA SERRA;17,9
PENACOVA;18,6
PENELA;21,9
SOURE;14,4
TABUA;21,5
VILA NOVA DE POIARES;19,4
ALVAIAZERE;22,8
ANSIAO;19,3
BATALHA;27,1
CASTANHEIRA DE PERA;36,3
FIGUEIRO DOS VINHOS;20,5
LEIRIA;26,4
MARINHA GRANDE;30,1
PEDROGAO GRANDE;21
POMBAL;22,1
PORTO DE MOS;28,4
AGUIAR DA BEIRA;26,3
CARREGAL DO SAL;26,1
CASTRO DAIRE;18,1
MANGUALDE;31,2
NELAS;24,7
OLIVEIRA DE FRADES;27,1
PENALVA DO CASTELO;17,8
SANTA COMBA DAO;27,9
SAO PEDRO DO SUL;20,9
SATAO;15
TONDELA;22,3
VILA NOVA DE PAIVA;16,3
VISEU;25,8
VOUZELA;23,9
CASTELO BRANCO;32,8
IDANHA-A-NOVA;49,6
OLEIROS;29,3
PENAMACOR;41,9
PROENCA-A-NOVA;30,4
SERTA;32,7
VILA DE REI;17,9
VILA VELHA DE RODAO;33,3
ALMEIDA;49,7
BELMONTE;42,9
CELORICO DA BEIRA;25,8
COVILHA;32,9
FIGUEIRA DE CASTELO RODRIGO;42
FORNOS DE ALGODRES;27,5
FUNDAO;42,5
GOUVEIA;24,3
GUARDA;24,7
MANTEIGAS;28,5
MEDA;24,6
PINHEL;25,5
SABUGAL;26,7
SEIA;36,2
TRANCOSO;20,6
ALBUFEIRA;78,2
ALCOUTIM;41,2
ALJEZUR;54,5
CASTRO MARIM;44,3
FARO;49,8
LAGOA;44,1
LAGOS;42,3
LOULE;61,4
MONCHIQUE;33,4
OLHAO;45,8
PORTIMAO;48,1
SAO BRAS DE ALPORTEL;37,1
SILVES;43,5
TAVIRA;46,5
VILA DO BISPO;58,9
VILA REAL DE SANTO ANTONIO;48
ANGRA DO HEROISMO;35
CALHETA RAA;21,2
CORVO;6,9
HORTA;31
LAGOA RAA;44,3
LAJES DAS FLORES;14,4
LAJES DO PICO;11,6
MADALENA;35,4
NORDESTE;27
PONTA DELGADA;48,3
POVOACAO;28
RIBEIRA GRANDE;57,7
SANTA CRUZ DA GRACIOSA;31,4
SANTA CRUZ DAS FLORES;36,4
SAO ROQUE DO PICO;24,6
VELAS;23,8
VILA DA PRAIA DA VITORIA;29,8
VILA DO PORTO;24,3
VILA FRANCA DO CAMPO;25,4
CALHETA RAM;12,9
CAMARA DE LOBOS;29
FUNCHAL;32,8
MACHICO;24,1
PONTA DO SOL;12,8
PORTO MONIZ;27,7
RIBEIRA BRAVA;19,5
SANTA CRUZ;17,3
SANTANA;16,4
SAO VICENTE;17,2
PORTO SANTO;41,8
