Concelho;Taxa_imigrantes_2011;Taxa_imigrantes_2021
ABRANTES;1.33;1.66
AGUIAR DA BEIRA;1.17;1.19
ALANDROAL;1.47;2.01
ALBERGARIA-A-VELHA;2.13;3.01
ALBUFEIRA;17.53;20.03
ALCANENA;2.80;3.41
ALCOBACA;2.65;4.72
ALCOCHETE;4.46;6.07
ALCOUTIM;1.85;5.23
ALCACER DO SAL;2.45;3.17
ALENQUER;6.40;7.06
ALFANDEGA DA FE;1.31;2.24
ALIJO;0.85;0.89
ALJEZUR;21.63;25.66
ALJUSTREL;1.09;2.85
ALMADA;6.55;8.42
ALMEIDA;2.00;2.09
ALMEIRIM;3.02;3.89
ALMODOVAR;1.70;2.86
ALPIARCA;2.58;3.35
ALTER DO CHAO;3.31;3.02
ALVAIAZERE;2.28;5.87
ALVITO;3.95;2.94
AMADORA;10.78;11.20
AMARANTE;0.87;1.08
AMARES;1.02;2.32
ANADIA;2.48;2.94
ANGRA DO HEROISMO;1.49;1.32
ANSIAO;1.79;3.38
ARCOS DE VALDEVEZ;1.33;2.08
ARGANIL;2.95;5.11
ARMAMAR;0.71;1.37
AROUCA;0.72;1.23
ARRAIOLOS;1.56;1.95
ARRONCHES;2.21;2.12
ARRUDA DOS VINHOS;5.15;5.20
AVEIRO;3.38;5.65
AVIS;3.70;2.23
AZAMBUJA;5.37;6.03
BAIAO;0.31;0.90
BARCELOS;0.80;1.89
BARRANCOS;1.69;1.04
BARREIRO;4.36;7.94
BATALHA;3.42;4.34
BEJA;2.69;4.51
BELMONTE;1.05;1.47
BENAVENTE;7.08;6.92
BOMBARRAL;3.43;5.20
BORBA;1.81;1.66
BOTICAS;0.66;1.44
BRAGA;2.64;5.83
BRAGANCA;1.64;4.62
CABECEIRAS DE BASTO;0.77;1.26
CADAVAL;2.33;4.02
CALDAS DA RAINHA;4.12;7.21
CALHETA;3.08;5.83
CAMINHA;2.37;3.39
CAMPO MAIOR;3.13;2.46
CANTANHEDE;1.56;2.49
CARRAZEDA DE ANSIAES;2.18;2.02
CARREGAL DO SAL;1.55;2.37
CARTAXO;3.48;4.29
CASCAIS;9.04;10.97
CASTANHEIRA DE PERA;1.94;3.33
CASTELO BRANCO;1.83;3.37
CASTELO DE PAIVA;0.35;0.84
CASTELO DE VIDE;2.70;3.40
CASTRO DAIRE;1.02;1.19
CASTRO MARIM;6.97;8.88
CASTRO VERDE;2.03;2.18
CELORICO DA BEIRA;0.90;1.40
CELORICO DE BASTO;0.59;1.07
CHAMUSCA;0.95;1.88
CHAVES;1.70;1.68
CINFAES;0.41;0.74
COIMBRA;2.37;3.89
CONDEIXA-A-NOVA;1.83;2.59
CONSTANCIA;0.94;1.50
CORUCHE;1.75;2.21
CORVO;9.07;2.86
COVILHA;1.14;2.45
CRATO;1.83;1.58
CUBA;3.67;4.48
CAMARA DE LOBOS;1.00;1.59
ELVAS;3.26;2.28
ENTRONCAMENTO;2.45;5.73
ESPINHO;1.43;2.46
ESPOSENDE;1.26;2.41
ESTARREJA;1.20;2.68
ESTREMOZ;1.89;2.25
FAFE;0.76;1.27
FARO;8.21;9.79
FELGUEIRAS;0.73;0.87
FERREIRA DO ALENTEJO;3.45;9.58
FERREIRA DO ZEZERE;2.45;4.19
FIGUEIRA DA FOZ;2.28;4.19
FIGUEIRA DE CASTELO RODRIGO;1.58;1.59
FIGUEIRO DOS VINHOS;1.38;4.83
FORNOS DE ALGODRES;0.70;1.39
FREIXO DE ESPADA A CINTA;2.41;2.05
FRONTEIRA;2.20;1.50
FUNCHAL;2.48;2.94
FUNDAO;1.61;3.26
GAVIAO;0.63;1.18
GOLEGA;1.08;2.09
GONDOMAR;0.96;1.86
GOUVEIA;1.29;1.67
GRANDOLA;4.88;5.82
GUARDA;1.34;2.38
GUIMARAES;0.98;1.58
GOIS;2.37;5.20
HORTA;2.77;3.17
IDANHA-A-NOVA;1.98;5.46
LAGOA;11.23;14.76
LAGOS;16.83;23.03
LAJES DAS FLORES;4.85;5.26
LAJES DO PICO;2.63;2.67
LAMEGO;0.57;0.70
LEIRIA;3.47;5.10
LISBOA;6.28;10.14
LOULE;14.63;15.93
LOURES;8.74;8.52
LOURINHA;4.11;5.40
LOUSADA;0.55;1.04
LOUSA;2.89;2.76
MACEDO DE CAVALEIROS;1.20;2.62
MACHICO;1.09;1.56
MADALENA;2.99;2.56
MAFRA;5.19;6.68
MAIA;1.67;2.69
MANGUALDE;2.04;2.11
MANTEIGAS;0.64;1.27
MARCO DE CANAVESES;0.73;0.86
MARINHA GRANDE;2.99;5.91
