Concelho;HM-1:Solteiro-T:Total;HM-2:Casado-T:Total;HM-3:Viúvo-T:Total;HM-4:Divorciado-T:Total
ARCOS DE VALDEVEZ;7133;9850;2501;1234
CAMINHA;6046;7033;1430;1288
MELGACO;2489;3673;1145;466
MONCAO;6427;8353;1987;1049
PAREDES DE COURA;3250;4117;843;422
PONTE DA BARCA;4163;5148;1084;649
PONTE DE LIMA;16241;19757;3243;1923
VALENCA;5582;5822;1220;999
VIANA DO CASTELO;34140;38895;6514;6229
VILA NOVA DE CERVEIRA;3548;3946;834;593
AMARES;7590;8846;1272;887
BARCELOS;47600;55639;7315;6198
BRAGA;86958;82967;9981;13418
ESPOSENDE;14579;16139;2243;2171
TERRAS DE BOURO;2365;3011;653;329
VILA VERDE;18905;21969;3297;2273
CABECEIRAS DE BASTO;6368;7178;1305;707
FAFE;18922;22951;3625;2999
GUIMARAES;64253;73554;9427;9596
MONDIM DE BASTO;2460;2992;606;352
POVOA DE LANHOSO;8533;10532;1531;1179
VIEIRA DO MINHO;4397;5776;1170;612
VILA NOVA DE FAMALICAO;53745;62825;8455;8509
VIZELA;9893;11383;1249;1371
AROUCA;8346;10172;1571;1057
ESPINHO;12269;13304;2672;2798
GONDOMAR;69052;71100;11016;13089
MAIA;57756;57511;8102;11608
MATOSINHOS;73222;71298;11916;16121
OLIVEIRA DE AZEMEIS;24901;31736;4717;4821
PAREDES;35749;38633;4714;5258
PORTO;110040;79675;18674;23411
POVOA DE VARZIM;26684;28527;4324;4720
SANTA MARIA DA FEIRA;54989;63182;8630;9873
SANTO TIRSO;25461;32782;5005;4461
SAO JOAO DA MADEIRA;9239;9249;1475;2180
TROFA;15313;18048;2465;2722
VALE DE CAMBRA;7525;10631;1717;1396
VALONGO;40576;40335;5814;7947
VILA DO CONDE;32971;36141;5665;6048
VILA NOVA DE GAIA;130907;126376;19589;26952
BOTICAS;1788;2413;622;177
CHAVES;13402;17551;3816;2821
MONTALEGRE;3187;4386;1267;421
RIBEIRA DE PENA;2181;2807;599;297
VALPACOS;4688;7234;2003;776
VILA POUCA DE AGUIAR;3979;5824;1333;676
AMARANTE;20251;24939;3806;3120
BAIAO;6197;8831;1513;993
CASTELO DE PAIVA;6016;7689;1118;763
CELORICO DE BASTO;6913;8348;1516;866
CINFAES;6513;8719;1584;914
FELGUEIRAS;22055;27259;3301;3233
LOUSADA;19280;22755;2662;2667
MARCO DE CANAVESES;19920;23633;3195;2793
PACOS DE FERREIRA;23401;25916;3068;3210
PENAFIEL;27980;33280;4374;3995
RESENDE;3829;4798;927;497
ALIJO;3722;4970;1183;611
ARMAMAR;2017;2726;656;279
CARRAZEDA DE ANSIAES;1862;2586;729;313
FREIXO DE ESPADA A CINTA;1089;1480;441;206
LAMEGO;8979;11681;2197;1455
MESAO FRIO;1246;1747;365;189
MOIMENTA DA BEIRA;3384;4663;926;437
MURCA;1702;2686;604;253
PENEDONO;974;1268;344;152
PESO DA REGUA;5524;6735;1323;958
SABROSA;1986;2635;587;340
SANTA MARTA DE PENAGUIAO;2038;3064;690;308
SAO JOAO DA PESQUEIRA;2506;3224;692;353
SERNANCELHE;1907;2887;624;274
TABUACO;1671;2531;572;260
TAROUCA;2782;3393;668;520
TORRE DE MONCORVO;2238;3274;919;395
VILA NOVA DE FOZ COA;2076;3029;830;369
VILA REAL;20191;22207;3737;3436
ALFANDEGA DA FE;1425;2157;525;217
BRAGANCA;14625;14729;2949;2279
MACEDO DE CAVALEIROS;5059;6843;1527;822
MIRANDA DO DOURO;2206;3202;813;242
MIRANDELA;7867;9959;2156;1402
MOGADOURO;2595;4230;1032;444
VILA FLOR;2025;3025;674;326
VIMIOSO;1298;2082;588;181
VINHAIS;2470;3892;1014;392
ALCOBACA;22356;23395;4613;4601
ALENQUER;19867;17770;3119;3686
ARRUDA DOS VINHOS;6298;5559;965;1170
BOMBARRAL;5221;5298;1117;1110
CADAVAL;5139;5912;1350;971
CALDAS DA RAINHA;21738;19914;4073;5185
LOURINHA;11011;10780;2075;2374
NAZARE;6076;6232;1218;1355
OBIDOS;4806;5116;997;1003
PENICHE;11229;10940;2210;2050
SOBRAL DE MONTE AGRACO;4692;4113;812;923
TORRES VEDRAS;35932;34050;6142;6948
AGUEDA;17949;21094;3488;3588
ALBERGARIA-A-VELHA;10107;10980;1803;1950
ANADIA;10296;12480;2502;2254
AVEIRO;36095;32109;5277;7473
ESTARREJA;10476;11725;2150;1862
ILHAVO;16784;16096;2725;3630
MURTOSA;4194;4758;898;626
OLIVEIRA DO BAIRRO;9427;9952;1737;2016
OVAR;22965;23846;3783;4359
SEVER DO VOUGA;3938;5337;1064;724
VAGOS;9335;10005;1778;1768
ARGANIL;3852;5194;1225;794
CANTANHEDE;12491;15995;3295;2431
COIMBRA;59870;57713;10205;13028
CONDEIXA-A-NOVA;6775;7476;1167;1314
FIGUEIRA DA FOZ;22634;25503;5385;5429
GOIS;1220;1776;520;295
LOUSA;6985;7266;1224;1531
MEALHADA;7371;8749;1674;1554
MIRA;4518;5501;1094;1000
MIRANDA DO CORVO;4484;5560;1091;867
MONTEMOR-O-VELHO;8884;11828;2217;1642
MORTAGUA;3140;4419;959;445
OLIVEIRA DO HOSPITAL;7097;9272;1860;1184
PAMPILHOSA DA SERRA;1092;2065;669;256
PENACOVA;4286;6696;1404;727
PENELA;1934;2491;612;403
SOURE;5640;8494;2006;1121
TABUA;4168;5061;1102;829
VILA NOVA DE POIARES;2682;2890;622;609
ALVAIAZERE;2072;2946;827;393
ANSIAO;4219;5449;1335;639
BATALHA;6432;6992;1013;1120
CASTANHEIRA DE PERA;851;1203;379;212
FIGUEIRO DOS VINHOS;1774;2435;676;396
LEIRIA;55460;54171;8521;10451
MARINHA GRANDE;16619;15761;2611;4033
PEDROGAO GRANDE;1125;1490;472;303
POMBAL;19319;23672;4881;3298
PORTO DE MOS;9645;9879;1931;1747
AGUIAR DA BEIRA;1574;2825;656;176
CARREGAL DO SAL;3214;4366;892;566
CASTRO DAIRE;4634;6992;1441;669
MANGUALDE;6386;9121;1656;1140
NELAS;4658;6323;1302;836
OLIVEIRA DE FRADES;3740;4362;808;596
PENALVA DO CASTELO;2391;3793;832;317
SANTA COMBA DAO;3709;5088;1123;721
SAO PEDRO DO SUL;5387;7295;1558;897
SATAO;3887;5583;1055;505
TONDELA;9285;12467;2668;1490
VILA NOVA DE PAIVA;1591;2326;531;214
VISEU;40346;45090;7109;7006
VOUZELA;3445;4657;980;498
CASTELO BRANCO;20048;23334;4735;4155
IDANHA-A-NOVA;2667;3852;1271;565
OLEIROS;1368;2512;768;256
PENAMACOR;1443;2332;705;288
PROENCA-A-NOVA;2421;3468;954;324
VILA VELHA DE RODAO;1008;1577;498;202
