Concelho;S7A2021:2021-T:HM
ARCOS DE VALDEVEZ;2,08
CAMINHA;3,39
MELGACO;2,34
MONCAO;4,33
PAREDES DE COURA;2,19
PONTE DA BARCA;1,93
PONTE DE LIMA;1,51
VALENCA;6,96
VIANA DO CASTELO;2,9
VILA NOVA DE CERVEIRA;6,4
AMARES;2,32
BARCELOS;1,89
BRAGA;5,83
ESPOSENDE;2,41
TERRAS DE BOURO;1,51
VILA VERDE;1,94
CABECEIRAS DE BASTO;1,26
FAFE;1,27
GUIMARAES;1,58
MONDIM DE BASTO;1,22
POVOA DE LANHOSO;1,93
VIEIRA DO MINHO;1,57
VILA NOVA DE FAMALICAO;1,82
VIZELA;0,99
AROUCA;1,23
ESPINHO;2,46
GONDOMAR;1,86
MAIA;2,69
MATOSINHOS;3,04
OLIVEIRA DE AZEMEIS;1,95
PAREDES;1,43
PORTO;6,25
POVOA DE VARZIM;3,52
SANTA MARIA DA FEIRA;2,01
SANTO TIRSO;1,54
SAO JOAO DA MADEIRA;4,81
TROFA;2,38
VALE DE CAMBRA;2,52
VALONGO;2
VILA DO CONDE;2,9
VILA NOVA DE GAIA;3,39
BOTICAS;1,44
CHAVES;1,68
MONTALEGRE;1,33
RIBEIRA DE PENA;0,97
VALPACOS;1,24
VILA POUCA DE AGUIAR;1,27
AMARANTE;1,08
BAIAO;0,9
CASTELO DE PAIVA;0,84
CELORICO DE BASTO;1,07
CINFAES;0,74
FELGUEIRAS;0,87
LOUSADA;1,04
MARCO DE CANAVESES;0,86
PACOS DE FERREIRA;0,91
PENAFIEL;0,84
RESENDE;0,77
ALIJO;0,89
ARMAMAR;1,37
CARRAZEDA DE ANSIAES;2,02
FREIXO DE ESPADA A CINTA;2,05
LAMEGO;0,7
MESAO FRIO;0,45
MOIMENTA DA BEIRA;1,48
MURCA;1,07
PENEDONO;1,42
PESO DA REGUA;0,74
SABROSA;1,06
SANTA MARTA DE PENAGUIAO;1,02
SAO JOAO DA PESQUEIRA;0,92
SERNANCELHE;1,41
TABUACO;1,15
TAROUCA;0,81
TORRE DE MONCORVO;1,42
VILA NOVA DE FOZ COA;2,54
VILA REAL;1,49
ALFANDEGA DA FE;2,24
BRAGANCA;4,62
MACEDO DE CAVALEIROS;2,62
MIRANDA DO DOURO;2,09
MIRANDELA;2,28
MOGADOURO;1,39
VILA FLOR;3,21
VIMIOSO;2,19
VINHAIS;0,99
ALCOBACA;4,72
ALENQUER;7,06
ARRUDA DOS VINHOS;5,2
BOMBARRAL;5,2
CADAVAL;4,02
CALDAS DA RAINHA;7,21
LOURINHA;5,4
NAZARE;5,48
OBIDOS;6,77
PENICHE;4,11
SOBRAL DE MONTE AGRACO;4,69
TORRES VEDRAS;6,01
AGUEDA;3,51
ALBERGARIA-A-VELHA;3,01
ANADIA;2,94
AVEIRO;5,65
ESTARREJA;2,68
ILHAVO;3,66
MURTOSA;2,56
OLIVEIRA DO BAIRRO;4,57
OVAR;2,12
SEVER DO VOUGA;2,46
VAGOS;2,94
ARGANIL;5,11
CANTANHEDE;2,49
COIMBRA;3,89
CONDEIXA-A-NOVA;2,59
FIGUEIRA DA FOZ;4,19
GOIS;5,2
LOUSA;2,76
MEALHADA;2,38
MIRA;2,65
MIRANDA DO CORVO;2,81
MONTEMOR-O-VELHO;1,62
MORTAGUA;3,83
OLIVEIRA DO HOSPITAL;3,35
PAMPILHOSA DA SERRA;3,11
PENACOVA;1,63
PENELA;6,03
SOURE;1,94
TABUA;4,82
VILA NOVA DE POIARES;3,65
ALVAIAZERE;5,87
ANSIAO;3,38
BATALHA;4,34
CASTANHEIRA DE PERA;3,33
FIGUEIRO DOS VINHOS;4,83
LEIRIA;5,1
MARINHA GRANDE;5,91
PEDROGAO GRANDE;9,44
POMBAL;3,44
PORTO DE MOS;3,86
AGUIAR DA BEIRA;1,19
CARREGAL DO SAL;2,37
CASTRO DAIRE;1,19
MANGUALDE;2,11
NELAS;1,89
OLIVEIRA DE FRADES;4,02
PENALVA DO CASTELO;1,13
SANTA COMBA DAO;2,7
SAO PEDRO DO SUL;2,07
SATAO;1,28
TONDELA;1,98
VILA NOVA DE PAIVA;1,8
VISEU;3,08
VOUZELA;1,66
CASTELO BRANCO;3,37
IDANHA-A-NOVA;5,46
OLEIROS;2,96
PENAMACOR;4,84
PROENCA-A-NOVA;2,75
VILA VELHA DE RODAO;4,6
ABRANTES;1,66
ALCANENA;3,41
CONSTANCIA;1,5
ENTRONCAMENTO;5,73
FERREIRA DO ZEZERE;4,19
MACAO;2,94
OUREM;5,26
SARDOAL;3,07
SERTA;3,47
TOMAR;2,78
TORRES NOVAS;2,04
VILA DE REI;2,84
VILA NOVA DA BARQUINHA;1,58
ALMEIDA;2,09
BELMONTE;1,47
CELORICO DA BEIRA;1,4
COVILHA;2,45
FIGUEIRA DE CASTELO RODRIGO;1,59
FORNOS DE ALGODRES;1,39
FUNDAO;3,26
GOUVEIA;1,67
GUARDA;2,38
MANTEIGAS;1,27
MEDA;1,62
PINHEL;1,29
SABUGAL;1,72
SEIA;1,65
TRANCOSO;1,62
ALCOCHETE;6,07
ALMADA;8,42
AMADORA;11,2
BARREIRO;7,94
CASCAIS;10,97
LISBOA;10,14
LOURES;8,52
MAFRA;6,68
MOITA;7,59
MONTIJO;10,02
ODIVELAS;9,65
OEIRAS;6,86
PALMELA;5,47
SEIXAL;7,48
SESIMBRA;4,98
SETUBAL;6,92
SINTRA;9,91
VILA FRANCA DE XIRA;6,36
ALCACER DO SAL;3,17
GRANDOLA;5,82
ODEMIRA;28,16
SANTIAGO DO CACEM;4,36
SINES;6,25
ALJUSTREL;2,85
ALMODOVAR;2,86
ALVITO;2,94
BARRANCOS;1,04
BEJA;4,51
CASTRO VERDE;2,18
CUBA;4,48
FERREIRA DO ALENTEJO;9,58
MERTOLA;2,14
MOURA;1,41
OURIQUE;5,19
SERPA;3,42
VIDIGUEIRA;2,88
ALMEIRIM;3,89
ALPIARCA;3,35
AZAMBUJA;6,03
BENAVENTE;6,92
CARTAXO;4,29
CHAMUSCA;1,88
CORUCHE;2,21
GOLEGA;2,09
RIO MAIOR;7,07
SALVATERRA DE MAGOS;2,8
SANTAREM;4,62
ALTER DO CHAO;3,02
ARRONCHES;2,12
AVIS;2,23
CAMPO MAIOR;2,46
CASTELO DE VIDE;3,4
CRATO;1,58
ELVAS;2,28
FRONTEIRA;1,5
GAVIAO;1,18
MARVAO;4,87
MONFORTE;1,04
NISA;1,66
PONTE DE SOR;1,95
PORTALEGRE;1,85
SOUSEL;2,22
ALANDROAL;2,01
ARRAIOLOS;1,95
BORBA;1,66
ESTREMOZ;2,25
EVORA;3,19
MONTEMOR-O-NOVO;2,89
MORA;1,72
MOURAO;1,11
PORTEL;2,89
REDONDO;2,55
REGUENGOS DE MONSARAZ;2,24
VENDAS NOVAS;3,01
VIANA DO ALENTEJO;2,31
VILA VICOSA;1,81
ALBUFEIRA;20,03
ALCOUTIM;5,23
ALJEZUR;25,66
CASTRO MARIM;8,88
FARO;9,79
LAGOA;14,76
LAGOS;23,03
LOULE;15,93
MONCHIQUE;13,13
OLHAO;8,93
PORTIMAO;14,06
SAO BRAS DE ALPORTEL;11,94
SILVES;13,49
TAVIRA;17,13
VILA DO BISPO;25,85
VILA REAL DE SANTO ANTONIO;9,11
ANGRA DO HEROISMO;1,32
CALHETA;1,4
CORVO;2,86
HORTA;3,17
LAGOA;1,06
LAJES DAS FLORES;5,26
LAJES DO PICO;2,67
MADALENA;2,56
NORDESTE;1,99
PONTA DELGADA;1,12
POVOACAO;1,74
RIBEIRA GRANDE;0,82
SANTA CRUZ DA GRACIOSA;1,05
SANTA CRUZ DAS FLORES;1,88
SAO ROQUE DO PICO;2,92
VELAS;2,01
VILA DA PRAIA DA VITORIA;1,06
VILA DO PORTO;2,39
VILA FRANCA DO CAMPO;0,71
CALHETA;5,83
CAMARA DE LOBOS;1,59
FUNCHAL;2,94
MACHICO;1,56
PONTA DO SOL;4,39
PORTO MONIZ;2,74
PORTO SANTO;4,62
RIBEIRA BRAVA;3,41
SANTA CRUZ;2,58
SANTANA;2,04
SAO VICENTE;2,94
