Concelho;H:0 - 14 anos;H:15 - 24 anos;H:25 - 64 anos;H:65 e mais anos;M:0 - 14 anos;M:15 - 24 anos;M:25 - 64 anos;M:65 e mais anos
ARCOS DE VALDEVEZ;942;897;4597;3047;981;893;4950;4411
CAMINHA;901;691;3779;1974;827;680;4258;2687
MELGACO;295;250;1573;1334;283;269;1796;1973
MONCAO;882;680;4125;2473;836;732;4484;3604
PAREDES DE COURA;473;408;2149;1114;476;352;2116;1544
PONTE DA BARCA;555;572;2631;1381;590;501;2864;1950
PONTE DE LIMA;2473;2330;10421;4169;2419;2221;11231;5900
VALENCA;846;684;3361;1529;784;653;3681;2085
VIANA DO CASTELO;5247;4401;21611;9240;4970;4268;23789;12252
VILA NOVA DE CERVEIRA;546;473;2296;1005;505;383;2306;1407
AMARES;1281;1145;4860;1792;1125;1038;5148;2206
BARCELOS;7533;7262;31489;9934;7182;6795;33476;13081
BRAGA;13759;11222;51871;15250;12994;10754;57551;19923
ESPOSENDE;2485;1940;9248;3116;2291;1956;10171;3925
TERRAS DE BOURO;334;336;1585;819;311;305;1638;1030
VILA VERDE;3183;2715;11981;4344;2945;2654;12828;5794
CABECEIRAS DE BASTO;992;941;4080;1546;925;885;4211;1978
FAFE;3007;2680;12635;4765;2676;2612;13701;6421
GUIMARAES;10131;8967;43043;13680;9454;8399;45509;17647
MONDIM DE BASTO;359;360;1589;791;293;343;1673;1002
POVOA DE LANHOSO;1399;1293;5590;2168;1260;1218;6139;2708
VIEIRA DO MINHO;599;618;2925;1571;552;567;3164;1959
VILA NOVA DE FAMALICAO;8752;7686;36577;11434;8357;7355;38522;14851
VIZELA;1569;1450;6754;1872;1497;1378;7065;2311
AROUCA;1349;1112;5557;2152;1325;1174;5598;2879
ESPINHO;1636;1603;7522;3700;1664;1523;8321;5074
GONDOMAR;10416;9113;43135;15327;10048;8646;47804;19768
MAIA;9430;7528;35798;11371;9051;7264;39770;14765
MATOSINHOS;11044;8619;44579;16983;10590;8335;49888;22519
OLIVEIRA DE AZEMEIS;3973;3433;17838;6776;3706;3477;18479;8493
PAREDES;5955;5471;23302;6114;5738;5219;24877;7678
PORTO;13466;11761;57423;23503;12968;11475;64497;36707
POVOA DE VARZIM;4301;3790;16499;5648;4226;3596;18621;7574
SANTA MARIA DA FEIRA;8813;7569;36889;12609;8353;7301;39122;16018
SANTO TIRSO;3730;3555;17658;7298;3615;3440;19043;9370
SAO JOAO DA MADEIRA;1394;1197;5707;2082;1286;1139;6514;2824
TROFA;2427;2188;10439;3419;2393;2127;11293;4262
VALE DE CAMBRA;1192;1035;5417;2634;1074;957;5600;3360
VALONGO;6551;5222;25202;7998;6195;5091;28006;10407
VILA DO CONDE;5718;4359;21570;7070;5398;4264;23086;9360
VILA NOVA DE GAIA;20004;16356;79308;28431;18908;15705;88533;36579
BOTICAS;222;170;1177;823;204;199;1173;1032
CHAVES;1926;1711;8835;5366;1811;1619;9597;6725
MONTALEGRE;334;353;2143;1640;351;336;2073;2031
RIBEIRA DE PENA;344;254;1464;838;270;248;1460;1006
VALPACOS;626;563;3115;2584;574;559;3315;3365
VILA POUCA DE AGUIAR;498;493;2788;1835;521;520;2914;2243
AMARANTE;3097;3062;13437;5144;3075;2991;14874;6436
BAIAO;1031;1005;4601;1704;918;994;4957;2324
CASTELO DE PAIVA;920;962;4261;1401;909;944;4339;1850
CELORICO DE BASTO;1058;1018;4606;1739;1045;952;4747;2478
CINFAES;1079;984;4578;1972;936;927;4726;2528
FELGUEIRAS;3604;3538;15420;4402;3473;3276;16486;5649
LOUSADA;3400;3101;13169;3220;3201;2980;14228;4065
MARCO DE CANAVESES;3302;3194;13376;3899;3133;3082;14440;5115
PACOS DE FERREIRA;3881;3603;15862;4038;3590;3484;16128;5009
PENAFIEL;4768;4390;18872;5448;4589;4157;20459;6946
RESENDE;598;539;2660;1101;512;513;2672;1456
ALIJO;475;481;2622;1538;482;434;2538;1916
ARMAMAR;276;277;1393;724;271;261;1453;1023
CARRAZEDA DE ANSIAES;232;212;1302;887;258;206;1234;1159
FREIXO DE ESPADA A CINTA;158;128;733;513;164;119;714;687
LAMEGO;1292;1279;6238;2684;1252;1252;6653;3662
MESAO FRIO;167;183;886;419;159;171;958;604
MOIMENTA DA BEIRA;556;473;2250;1210;511;464;2388;1558
MURCA;232;245;1233;821;215;188;1260;1051
PENEDONO;119;141;644;388;113;127;650;556
PESO DA REGUA;790;736;3689;1618;760;730;3980;2237
SABROSA;262;244;1342;813;284;255;1351;997
SANTA MARTA DE PENAGUIAO;274;316;1466;842;270;261;1563;1108
SAO JOAO DA PESQUEIRA;374;360;1752;835;338;321;1737;1058
SERNANCELHE;259;268;1407;816;266;268;1401;1007
TABUACO;236;226;1219;694;223;240;1296;900
TAROUCA;461;405;1861;800;455;388;1986;1007
TORRE DE MONCORVO;280;242;1509;1193;261;232;1525;1584
VILA NOVA DE FOZ COA;262;255;1518;957;293;247;1468;1304
VILA REAL;3097;2636;12610;5033;2875;2544;14144;6632
ALFANDEGA DA FE;177;156;993;763;176;170;1014;875
BRAGANCA;1910;1880;8382;4342;1834;1797;9031;5406
MACEDO DE CAVALEIROS;654;613;3316;2190;632;643;3452;2751
MIRANDA DO DOURO;293;257;1454;1129;268;229;1453;1380
MIRANDELA;1090;966;5005;3062;1069;1003;5382;3807
MOGADOURO;323;284;2004;1400;344;278;1926;1742
VILA FLOR;293;277;1393;957;243;247;1453;1187
VIMIOSO;151;142;887;831;145;145;860;988
VINHAIS;264;246;1705;1587;234;209;1660;1863
ALCOBACA;3232;3047;13951;6263;3204;2731;14533;8004
ALENQUER;3421;2595;11627;3935;3242;2363;12206;5053
ARRUDA DOS VINHOS;1180;892;3592;1171;1113;755;3746;1543
BOMBARRAL;839;597;3121;1555;736;624;3324;1950
CADAVAL;782;676;3173;1786;753;632;3327;2243
CALDAS DA RAINHA;3131;2730;12443;5694;3035;2625;13855;7397
LOURINHA;1826;1363;6482;3020;1690;1287;6922;3650
NAZARE;906;739;3737;1703;958;675;3966;2197
OBIDOS;739;632;2998;1460;728;525;3112;1728
PENICHE;1835;1363;6465;3026;1690;1261;6925;3864
SOBRAL DE MONTE AGRACO;813;588;2737;937;780;575;2878;1232
TORRES VEDRAS;5591;4584;21625;8358;5405;4338;22610;10561
AGUEDA;2875;2260;11697;5293;2681;2272;12476;6565
ALBERGARIA-A-VELHA;1630;1356;6540;2543;1561;1272;6815;3123
ANADIA;1565;1332;6725;3529;1396;1267;7135;4583
AVEIRO;5418;4197;21465;7362;5073;4212;23577;9650
ESTARREJA;1715;1393;6831;2751;1580;1316;6984;3643
ILHAVO;2663;2069;10224;3679;2614;1977;11243;4766
MURTOSA;715;555;2666;1111;688;520;2749;1472
OLIVEIRA DO BAIRRO;1648;1213;5765;2347;1573;1198;6287;3101
OVAR;3482;3060;14633;5156;3330;2920;15728;6644
SEVER DO VOUGA;573;599;2747;1428;551;502;2832;1831
VAGOS;1562;1183;5816;2429;1494;1152;6171;3079
ARGANIL;558;439;2685;1608;557;440;2704;2074
CANTANHEDE;2024;1609;8049;4466;1850;1567;8743;5904
COIMBRA;8458;6888;35346;14759;8062;6997;39531;20775
CONDEIXA-A-NOVA;1170;880;4202;1562;1113;804;4750;2251
FIGUEIRA DA FOZ;3419;2879;14370;7215;3171;2740;15701;9456
GOIS;143;170;856;599;173;144;887;839
LOUSA;1188;930;4364;1714;1069;843;4724;2174
MEALHADA;1153;1016;4949;2137;1068;889;5245;2891
MIRA;725;575;2870;1586;673;481;3060;2143
MIRANDA DO CORVO;652;648;3068;1388;636;598;3168;1844
MONTEMOR-O-VELHO;1565;1134;6333;2765;1442;1065;6634;3633
MORTAGUA;416;362;2103;1378;432;342;2171;1759
OLIVEIRA DO HOSPITAL;1108;1005;4809;2378;1006;912;5065;3130
PAMPILHOSA DA SERRA;137;112;875;779;133;110;843;1093
PENACOVA;625;584;3194;1764;593;620;3288;2445
PENELA;277;240;1345;735;291;214;1334;1004
SOURE;917;788;4014;2448;844;707;4213;3330
TABUA;629;491;2717;1449;614;569;2817;1874
VILA NOVA DE POIARES;363;358;1716;758;392;339;1880;997
ALVAIAZERE;292;261;1403;952;264;257;1449;1360
ANSIAO;599;576;2749;1599;575;535;2835;2174
BATALHA;1133;815;3940;1645;1060;808;4223;1933
CASTANHEIRA DE PERA;101;123;590;433;99;99;620;580
FIGUEIRO DOS VINHOS;268;215;1239;782;220;185;1296;1076
LEIRIA;8742;7162;33382;12572;8235;6670;35777;16063
MARINHA GRANDE;2538;2078;10118;4107;2513;1990;10695;4985
PEDROGAO GRANDE;140;152;809;510;129;145;811;694
POMBAL;3080;2550;12304;6437;2865;2537;13007;8390
PORTO DE MOS;1483;1334;5940;2515;1393;1192;6066;3279
AGUIAR DA BEIRA;216;224;1152;864;219;190;1218;1148
CARREGAL DO SAL;505;422;2078;1229;500;441;2230;1633
CASTRO DAIRE;673;672;3294;1897;658;652;3342;2548
MANGUALDE;1010;968;4364;2394;1016;877;4669;3005
NELAS;787;687;3000;1724;735;599;3290;2297
OLIVEIRA DE FRADES;587;538;2427;1009;574;489;2525;1357
PENALVA DO CASTELO;412;355;1630;1110;338;325;1710;1453
SANTA COMBA DAO;609;489;2402;1523;560;492;2630;1936
SAO PEDRO DO SUL;762;774;3490;2120;727;740;3677;2847
SATAO;623;564;2583;1445;581;558;2752;1924
TONDELA;1331;1305;6024;3587;1265;1149;6562;4687
VILA NOVA DE PAIVA;267;215;1094;659;200;226;1130;871
VISEU;6627;5387;24585;10203;6398;5239;27835;13277
VOUZELA;466;484;2265;1300;492;460;2393;1720
CASTELO BRANCO;2997;2508;12701;6497;2962;2342;13888;8377
IDANHA-A-NOVA;387;314;1775;1522;338;284;1680;2055
OLEIROS;156;138;1086;953;131;154;1001;1285
PENAMACOR;179;162;1089;919;142;126;952;1199
PROENCA-A-NOVA;302;279;1707;1181;289;267;1577;1565
VILA VELHA DE RODAO;153;102;663;647;137;93;636;854
ABRANTES;1794;1716;8418;4506;1720;1491;8503;6181
ALCANENA;762;650;3057;1525;732;574;3150;2022
CONSTANCIA;240;199;956;428;230;188;997;560
ENTRONCAMENTO;1493;1089;5123;1784;1463;1086;5671;2432
FERREIRA DO ZEZERE;429;378;1811;1068;424;336;1877;1477
