Concelho_Limpo;Poder_de_compra
ARCOS DE VALDEVEZ;72,79
CAMINHA;86,45
MELGACO;64,01
MONCAO;75,06
PAREDES DE COURA;69,37
PONTE DA BARCA;67,15
PONTE DE LIMA;76,66
VALENCA;84,82
VIANA DO CASTELO;92,08
VILA NOVA DE CERVEIRA;84,89
AMARES;74,01
BARCELOS;81,63
BRAGA;105,39
ESPOSENDE;86,82
TERRAS DE BOURO;67,12
VILA VERDE;74,23
CABECEIRAS DE BASTO;69,02
FAFE;76,86
GUIMARAES;89,31
MONDIM DE BASTO;64,63
POVOA DE LANHOSO;71,95
VIEIRA DO MINHO;67,5
VILA NOVA DE FAMALICAO;92,12
VIZELA;81,44
ALCOCHETE;118,86
ALMADA;104,49
AMADORA;102,25
BARREIRO;96,5
CASCAIS;121,83
LISBOA;186,34
LOURES;102,3
MAFRA;102,88
MOITA;82,3
MONTIJO;102,53
ODIVELAS;94,74
OEIRAS;165,5
PALMELA;97,68
SEIXAL;95,99
SESIMBRA;94,05
SETUBAL;104,81
SINTRA;97,85
VILA FRANCA DE XIRA;98,94
ALCACER DO SAL;87,7
GRANDOLA;95,38
ODEMIRA;79,51
SANTIAGO DO CACEM;95,81
SINES;120,33
ALJUSTREL;84,21
ALMODOVAR;80,38
ALVITO;72,37
BARRANCOS;67,19
BEJA;101,74
CASTRO VERDE;103,48
CUBA;73,66
FERREIRA DO ALENTEJO;74,93
MERTOLA;68,89
MOURA;75,97
OURIQUE;75,6
SERPA;74,42
VIDIGUEIRA;79,42
ALMEIRIM;88,28
ALPIARCA;81,27
AZAMBUJA;111,05
BENAVENTE;96,67
CARTAXO;90,17
CHAMUSCA;74,54
CORUCHE;78,02
GOLEGA;84,11
RIO MAIOR;89,83
SALVATERRA DE MAGOS;81,18
SANTAREM;99,48
ALTER DO CHAO;73,57
ARRONCHES;75,87
AVIS;78,56
CAMPO MAIOR;90,58
CASTELO DE VIDE;79,39
CRATO;73,69
ELVAS;90,03
FRONTEIRA;76,22
GAVIAO;70,87
MARVAO;69,31
MONFORTE;71,58
NISA;76,37
PONTE DE SOR;83,87
PORTALEGRE;98,54
SOUSEL;72,89
ALANDROAL;69,78
ARRAIOLOS;77,1
BORBA;75,84
ESTREMOZ;95,72
EVORA;111,98
MONTEMOR-O-NOVO;88,63
MORA;80,19
MOURAO;71,15
PORTEL;68,16
REDONDO;74,11
REGUENGOS DE MONSARAZ;90,92
VENDAS NOVAS;93,11
VIANA DO ALENTEJO;78,83
VILA VICOSA;82,79
ALBUFEIRA;107,03
ALCOUTIM;70,99
ALJEZUR;71,57
CASTRO MARIM;81,16
FARO;116,01
LAGOA;91,4
LAGOS;94,37
LOULE;115,41
MONCHIQUE;65,71
OLHAO;84,47
PORTIMAO;102,11
SAO BRAS DE ALPORTEL;90,17
SILVES;83,81
TAVIRA;93,74
VILA DO BISPO;67,19
VILA REAL DE SANTO ANTONIO;93,83
ANGRA DO HEROISMO;94,76
CALHETA;72,34
CORVO;75,7
HORTA;88,67
LAGOA;76,91
LAJES DAS FLORES;82,57
LAJES DO PICO;70,63
MADALENA;84,76
NORDESTE;63,9
PONTA DELGADA;102,58
POVOACAO;67,05
RIBEIRA GRANDE;73,02
SANTA CRUZ DA GRACIOSA;78,41
SANTA CRUZ DAS FLORES;83,96
SAO ROQUE DO PICO;80,25
VELAS;87,75
VILA DA PRAIA DA VITORIA;82,57
VILA DO PORTO;90,44
VILA FRANCA DO CAMPO;70,64
CALHETA;67,09
CAMARA DE LOBOS;63,48
FUNCHAL;109,59
MACHICO;77,02
PONTA DO SOL;60,72
PORTO MONIZ;61,04
PORTO SANTO;97,51
RIBEIRA BRAVA;68,16
SANTA CRUZ;76,1
SANTANA;64,64
SAO VICENTE;66,08
