Concelho,PPD/PSD.CDS-PP.PPM,PS,CH,IL,B.E.,PCP-PEV,L
ABRANTES,24.92,26.37,30.64,3.27,2.22,3.5,3.09
AGUEDA,40.73,21.78,21.7,4.86,1.22,1.06,2.23
AGUIAR DA BEIRA,54.11,17.67,17.74,2.08,0.74,0.34,0.68
ALANDROAL,17.11,33.6,28.64,1.5,1.27,11.8,1.58
ALBERGARIA-A-VELHA,41.87,17.55,25.01,4.76,1.35,1,2.1
ALBUFEIRA,26.01,16.53,39.49,4.73,2.1,1.81,2.64
ALCACER DO SAL,17.05,31.22,22.58,2.32,2.62,14.2,3.41
ALCANENA,33.93,22.16,25.21,4.3,1.46,3.57,2.6
ALCOBACA,37.64,19.51,23.05,6.08,1.7,1.75,3.2
ALCOCHETE,25.76,20.9,25.29,8,2.25,5.18,6.83
ALCOUTIM,38.11,31.51,16.2,1.58,1.2,3.9,1.88
ALENQUER,24.67,23.69,28.11,5.41,2.05,4.88,4.49
ALFANDEGA DA FE,44.32,30.2,17.12,0.89,0.64,0.86,1.47
ALIJO,42.39,27.5,19.72,2.22,0.99,0.99,1.21
ALJEZUR,24.37,24.96,27.18,3.45,2.73,4.4,3.84
ALJUSTREL,11.86,30.44,26.41,1.2,1.82,21.32,1.68
ALMADA,22.9,26.28,21.54,5.94,2.81,6.72,7.24
ALMEIDA,40.98,25.24,22.26,1.85,0.86,1.19,1.04
ALMEIRIM,23.85,26.69,31.85,3.76,1.8,3.58,2.9
ALMODOVAR,26.33,27.4,30.5,1.9,1.69,4.77,1.47
ALPIARCA,19.23,24.48,25.02,3.81,1.98,16.96,2.86
ALTER DO CHAO,26.49,27.41,30.63,1.84,1.44,6.55,0.86
ALVAIAZERE,53.77,13.68,21.93,2.2,0.59,0.37,1.27
ALVITO,20.75,26.97,28.3,1.66,3.07,11.62,2.41
AMADORA,23.99,28.83,21.2,6.05,2.73,4.06,6.34
AMARANTE,39.67,27.3,17.04,3.71,1.6,1.2,3.07
AMARES,38.99,18.59,26.22,6.25,1.38,1.11,2.15
ANADIA,45.27,17.89,20.4,4.92,1.19,1.02,2.27
ANGRA DO HEROISMO,39.11,27.53,17.14,3.45,1.92,1.05,2.96
ANSIAO,46.3,19.48,19.02,3.78,1.01,1.05,1.94
ARCOS DE VALDEVEZ,48.91,19.98,19.69,2.36,0.92,1.05,1.68
ARGANIL,39.24,29.35,17.02,2.46,1.59,1.11,2.65
ARMAMAR,46.15,16.52,24.47,2.87,0.81,2.18,1.22
AROUCA,53.51,16.54,16.39,3.79,0.93,0.56,1.73
ARRAIOLOS,19.26,29.34,19.51,2.41,2.24,19.43,2.53
ARRONCHES,33.05,25.84,28.02,1.92,1.19,2.91,1.45
ARRUDA DOS VINHOS,29.44,22.9,23.09,8.45,1.74,2.9,5.07
AVEIRO,37.22,21.05,19.18,7.46,2.18,1.39,5.1
AVIS,17.13,28.73,22.12,1.17,1.26,23.74,1.26
AZAMBUJA,22,24.19,29.49,4.42,2.69,5,5.07
BAIAO,40.19,28.85,18.52,1.85,1.04,0.94,1.64
BARCELOS,41.6,18.3,23.23,5.77,1.7,1.14,2.72
BARRANCOS,18.34,28.91,31.03,2.26,0.99,11.28,0.99
BARREIRO,16.16,30.21,23.68,4.23,2.77,10.2,6.01
BATALHA,43.46,13.64,23.15,7.1,1.59,0.87,2.79
BEJA,24.2,23.89,27.04,2.57,2.05,13.16,2.38
BELMONTE,27.15,32.44,25.21,1.82,1.56,2.47,2.24
BENAVENTE,24.95,18.03,36.25,4.79,1.56,5.24,3.68
BOMBARRAL,32.91,22.96,24.42,4.32,2.01,3.61,23.9
BORBA,22.8,33.78,27.04,1.82,1.39,6.63,1.71
BOTICAS,62.68,15.06,13.84,1.19,0.61,1.22,0.42
