COD,CONC,ORG,A,B.E.,CDS-PP,CH,E,IL,JPP,L,MAS,MPT,NC,PAN,PCTP/MRPP,PDR,PPD/PSD,PPM,PS,PTP,R.I.R.,VP,PCP-PEV,[NC/A],IN-OV,VM,[MCCP],[AFE],[CPC],[MMMI],AP,MIPA,[SPCVB],[S-MI],[UTV],[MVR],[MC21],[MCPE],[CLIP],[MPNT],[MOVE],[MAiSines],MUB,R,FAP,#NAME?,Manteigas 2030,UPF,MMMF,MOV.PT,I-Góis,M51,JÁ!,U.C.,UCPT,CICC,jmfv,MFI,MCPE,JPNT,MLP,GCA,MP,CIC,,VA,PV,[ALTERNATIVAcom,,CICF,CPM,[MPT/PPM/A,UPM,MSU,CIMB
111000,OEIRAS,CM,,,1.89,3.9,,4.26,,,,,,3.12,,,16.52,,10.98,,,,5.52,,53.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151100,SESIMBRA,CM,,5.6,2.95,9.8,,,,,,,,,,,7.85,,32.48,,,,36.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32,
100600,CALDAS DA RAINHA,CM,,2.44,2.84,3.08,,,,,,,,,,,36,,11.53,,,,1.98,,,42.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141800,TOMAR,CM,,5,3.35,6.49,,,,,,,,,,,36.59,,41.92,,,1.29,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100900,LEIRIA,CM,,2.55,4.49,6,,2.52,,0.7,,,,1.93,,,23.83,,55.24,,,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150800,PALMELA,CM,,4.47,2.78,8.18,,,,,,,1.57,,,,9.12,0.19,24.89,,0.89,,32.9,,,,15.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81100,PORTIMAO,CM,,7.13,,10.62,,,,,,,,3.22,,,31.98,,41.72,,,,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110100,ALENQUER,CM,,5.99,6.78,7.85,,,,,,,,,,,15.34,,44.71,,,,12.1,,,,,7.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151000,SEIXAL,CM,,4.5,1.52,8.38,,1.91,,,,,,2.86,,,9.66,,32.02,,,,39.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50300,COVILHA,CM,,,,1.83,,,,,,,,,,,32.18,,48.88,,,,10.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77,,,
70700,MORA,CM,,,,,,,,,,,,,,,4.26,,50.27,,,,45.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490100,CORVO,CM,,,,,,,,,,,,,,,35.66,,61.03,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70600,MONTEMOR-O-NOVO,CM,,,,2.78,,,,,,,,,,,18.81,,41.53,,,,35.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81300,SILVES,CM,,2.09,1.91,5.34,,1.4,,,,,,,,,24.29,,19.85,,,,45.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130300,FELGUEIRAS,CM,,,1.93,2.03,,1.53,,,,,,,,,22.43,,70.15,,,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70400,ESTREMOZ,CM,,,,4.95,,,,,,,4.84,,,,34.22,,45.93,,,,7.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131700,VILA NOVA DE GAIA,CM,,4.83,,4.4,,3.08,,0.48,,,,2.86,,,18.37,,60.43,,,,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80700,LAGOS,CM,,,0.97,8.14,,,,,,,7.98,3.38,,,13.59,,56.34,,,,9.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40900,TORRE DE MONCORVO,CM,,,,,,,,,,,1.82,,,,53.65,,43.38,,,,1.15,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131000,PAREDES,CM,,1.43,,1.72,,,,,,,2.78,,,,26.56,,65.06,,,,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11500,OVAR,CM,,3.23,5.68,1.81,,,,,,,8,,,,60.14,,18.29,,,,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131400,SANTO TIRSO,CM,,6.4,,4.7,,,,,,,1.67,,,,19.7,,63.85,,,,3.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110500,CASCAIS,CM,,3.78,,7.67,,4.49,,,,,1.9,,,,54.27,,22.33,,,,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151200,SETUBAL,CM,,4.39,1.76,6.08,,2.41,,,,,0.76,2.33,,,17.28,,28.71,,,,35.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20900,MERTOLA,CM,,,,1.24,,,,,,,9.25,,,,,,59.6,,,,27.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70500,EVORA,CM,,3.94,,7.05,,,,,,,13.25,,,,19.82,,27.35,,,,28.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310800,SANTA CRUZ,CM,,,,2.33,,1.07,,,,,,,,,28.74,,63.34,1.72,0.45,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101200,OBIDOS,CM,,3.09,0.83,4.81,,,,,,,,,,,47.26,,38.29,,,,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60300,COIMBRA,CM,,,,2.39,,1.73,,,,,,1.51,,,45.75,,34.02,,,,7.83,,,,,,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310200,CAMARA DE LOBOS,CM,,,7.73,4.4,,,3.03,,,,,,,,62.24,,17.95,1.19,0.49,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160200,CAMINHA,CM,,3.54,,,,,,,,,,,,,43.06,,48.72,,,,4.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111100,SINTRA,CM,,6.08,,9.51,,2.81,,,,,3.11,3.4,,,28.78,,36.88,,,,9.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111600,ODIVELAS,CM,,4.95,,9.11,,3.19,,,,,,3.35,,,21.1,,46.97,,,,11.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111500,AMADORA,CM,,5.55,,5.69,,2.9,,,0.38,,,3.22,,,25.57,,45.7,,,,10.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150300,ALMADA,CM,,7.02,,5.81,,2.03,,,,,,2.38,,,11.03,,41.09,,,,30.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110600,LISBOA,CM,,6.4,,4.56,0.14,4.34,,,,,0.21,2.82,,0.14,35.35,,34.38,,,0.43,10.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20300,ALVITO,CM,,,,,,,,,,,,,,,12.3,,51.89,,,,35.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21000,MOURA,CM,,,,14.73,,,,,,,,,,,3.86,,41.4,,,,40.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150700,MONTIJO,CM,,4.32,,6.79,,4.55,,,,,,3.31,,,28.95,1.05,30.79,,,,20.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171400,VILA REAL,CM,,2.79,,4.34,,,,,,,,,,,29.86,,60.81,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20500,BEJA,CM,,1.73,,5.57,,,,,,,,,,,18.98,,40.08,,,,33.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11100,MEALHADA,CM,,3.24,,1.65,,,,,,,,,,,20.1,,30.93,,,,4.47,,,,,,,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80500,FARO,CM,,4.19,,5.31,,,,,,,,2.75,,,49.4,,31.64,,,,6.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11600,SAO JOAO DA MADEIRA,CM,,4.02,,2.94,,,,,,,1.09,,,,33.45,,53.72,,,,4.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140200,ALCANENA,CM,,,,3.61,,,,,,,,,,,48.39,,40.97,,,,7.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150600,MOITA,CM,,7.82,,9.28,,,,,,,,2.84,,,6.84,,38.95,,,,34.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150100,ALCACER DO SAL,CM,,,,2.39,,,,,,,,,,,2.85,,45.27,,,,49.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
