Concelho,Distrito
ABRANTES,Santarém
AGUEDA,Aveiro
AGUIAR DA BEIRA,Guarda
ALANDROAL,Évora
ALBERGARIA-A-VELHA,Aveiro
ALBUFEIRA,Faro
ALCACER DO SAL,Setúbal
ALCANENA,Santarém
ALCOBACA,Leiria
ALCOCHETE,Setúbal
ALCOUTIM,Faro
ALENQUER,Lisboa
ALFANDEGA DA FE,Bragança
ALIJO,Vila Real
ALJEZUR,Faro
ALJUSTREL,Beja
ALMADA,Setúbal
ALMEIDA,Guarda
ALMEIRIM,Santarém
ALMODOVAR,Beja
ALPIARCA,Santarém
ALTER DO CHAO,Portalegre
ALVAIAZERE,Leiria
ALVITO,Beja
AMADORA,Lisboa
AMARANTE,Porto
AMARES,Braga
ANADIA,Aveiro
ANGRA DO HEROISMO,Açores
ANSIAO,Leiria
ARCOS DE VALDEVEZ,Viana do Castelo
ARGANIL,Coimbra
ARMAMAR,Viseu
AROUCA,Aveiro
ARRAIOLOS,Évora
ARRONCHES,Portalegre
ARRUDA DOS VINHOS,Lisboa
AVEIRO,Aveiro
AVIS,Portalegre
AZAMBUJA,Lisboa
BAIAO,Porto
BARCELOS,Braga
BARRANCOS,Beja
BARREIRO,Setúbal
BATALHA,Leiria
BEJA,Beja
BELMONTE,Castelo Branco
BENAVENTE,Santarém
BOMBARRAL,Leiria
BORBA,Évora
BOTICAS,Vila Real
BRAGA,Braga
BRAGANCA,Bragança
CABECEIRAS DE BASTO,Braga
CADAVAL,Lisboa
CALDAS DA RAINHA,Leiria
CALHETA (ACORES),Açores
CALHETA (MADEIRA),Madeira
CAMARA DE LOBOS,Madeira
CAMINHA,Viana do Castelo
CAMPO MAIOR,Portalegre
CANTANHEDE,Coimbra
CARRAZEDA DE ANSIAES,Bragança
CARREGAL DO SAL,Viseu
CARTAXO,Santarém
CASCAIS,Lisboa
CASTANHEIRA DE PERA,Leiria
CASTELO BRANCO,Castelo Branco
CASTELO DE PAIVA,Porto
CASTELO DE VIDE,Portalegre
CASTRO DAIRE,Viseu
CASTRO MARIM,Faro
CASTRO VERDE,Beja
CELORICO DA BEIRA,Guarda
CELORICO DE BASTO,Braga
CHAMUSCA,Santarém
CHAVES,Vila Real
CINFAES,Viseu
COIMBRA,Coimbra
CONDEIXA-A-NOVA,Coimbra
CONSTANCIA,Santarém
CORUCHE,Santarém
CORVO,Açores
COVILHA,Castelo Branco
CRATO,Portalegre
CUBA,Beja
ELVAS,Portalegre
ENTRONCAMENTO,Santarém
ESPINHO,Aveiro
ESPOSENDE,Porto
ESTARREJA,Aveiro
ESTREMOZ,Évora
EVORA,Évora
FAFE,Braga
FARO,Faro
FELGUEIRAS,Porto
FERREIRA DO ALENTEJO,Beja
FERREIRA DO ZEZERE,Santarém
FIGUEIRA DA FOZ,Coimbra
FIGUEIRA DE CASTELO RODRIGO,Guarda
FIGUEIRO DOS VINHOS,Leiria
FORNOS DE ALGODRES,Guarda
FREIXO DE ESPADA A CINTA,Bragança
FRONTEIRA,Portalegre
FUNCHAL,Madeira
FUNDAO,Castelo Branco
GAVIAO,Portalegre
GOIS,Coimbra
GOLEGA,Santarém
GONDOMAR,Porto
GOUVEIA,Guarda
GRANDOLA,Setúbal
GUARDA,Guarda
GUIMARAES,Braga
HORTA,Açores
IDANHA-A-NOVA,Castelo Branco
ILHAVO,Aveiro
LAGOA (ACORES),Açores
LAGOA (FARO),Faro
LAGOS,Faro
LAJES DAS FLORES,Açores
LAJES DO PICO,Açores
LAMEGO,Viseu
LEIRIA,Leiria
LISBOA,Lisboa
LOULE,Faro
LOURES,Lisboa
LOURINHA,Lisboa
LOUSA,Coimbra
LOUSADA,Porto
MACAO,Santarém
MACEDO DE CAVALEIROS,Bragança
MACHICO,Madeira
MADALENA,Açores
MAFRA,Lisboa
MAIA,Porto
MANGUALDE,Viseu
MANTEIGAS,Guarda
MARCO DE CANAVESES,Porto
MARINHA GRANDE,Leiria
MARVAO,Portalegre
MATOSINHOS,Porto
MEALHADA,Aveiro
MEDA,Guarda
MELGACO,Viana do Castelo
MERTOLA,Beja
MESAO FRIO,Viseu
MIRA,Coimbra
MIRANDA DO CORVO,Coimbra
MIRANDA DO DOURO,Bragança
MIRANDELA,Bragança
MOGADOURO,Bragança
MOIMENTA DA BEIRA,Viseu
MOITA,Setúbal
MONCAO,Viana do Castelo
MONCHIQUE,Faro
MONDIM DE BASTO,Braga
MONFORTE,Portalegre
MONTALEGRE,Vila Real
MONTEMOR-O-NOVO,Évora
MONTEMOR-O-VELHO,Coimbra
MONTIJO,Setúbal
MORA,Évora
MORTAGUA,Viseu
MOURA,Beja
MOURAO,Évora
MURCA,Vila Real
MURTOSA,Aveiro
NAZARE,Leiria
NELAS,Viseu
NISA,Portalegre
NORDESTE,Açores
OBIDOS,Leiria
ODEMIRA,Beja
ODIVELAS,Lisboa
OEIRAS,Lisboa
OLEIROS,Castelo Branco
OLHAO,Faro
OLIVEIRA DE AZEMEIS,Aveiro
OLIVEIRA DE FRADES,Viseu
OLIVEIRA DO BAIRRO,Aveiro
OLIVEIRA DO HOSPITAL,Coimbra
OUREM,Santarém
OURIQUE,Beja
OVAR,Aveiro
PACOS DE FERREIRA,Porto
PALMELA,Setúbal
PAMPILHOSA DA SERRA,Coimbra
PAREDES,Porto
PAREDES DE COURA,Viana do Castelo
PEDROGAO GRANDE,Leiria
PENACOVA,Coimbra
PENAFIEL,Porto
PENALVA DO CASTELO,Viseu
PENAMACOR,Castelo Branco
PENEDONO,Viseu
PENELA,Coimbra
PENICHE,Leiria
PESO DA REGUA,Vila Real
PINHEL,Guarda
POMBAL,Leiria
PONTA DELGADA,Açores
PONTA DO SOL,Madeira
