CONC;Percentagem_Max;Partido_Vencedor;cor;CONC_std
OEIRAS;53.84;IN-OV;grey;OEIRAS
SESIMBRA;36.01;PCP-PEV;red;SESIMBRA
CALDAS DA RAINHA;42.13;VM;grey;CALDAS DA RAINHA
TOMAR;41.92;PS;purple;TOMAR
LEIRIA;55.24;PS;purple;LEIRIA
PALMELA;32.9;PCP-PEV;red;PALMELA
PORTIMAO;41.72;PS;purple;PORTIMAO
ALENQUER;44.71;PS;purple;ALENQUER
SEIXAL;39.15;PCP-PEV;red;SEIXAL
COVILHA;48.88;PS;purple;COVILHA
MORA;50.27;PS;purple;MORA
CORVO;61.03;PS;purple;CORVO
MONTEMOR-O-NOVO;41.53;PS;purple;MONTEMOR-O-NOVO
SILVES;45.13;PCP-PEV;red;SILVES
FELGUEIRAS;70.15;PS;purple;FELGUEIRAS
ESTREMOZ;45.93;PS;purple;ESTREMOZ
VILA NOVA DE GAIA;60.43;PS;purple;VILA NOVA DE GAIA
LAGOS;56.34;PS;purple;LAGOS
TORRE DE MONCORVO;53.65;PSD/CDS;orange;TORRE DE MONCORVO
PAREDES;65.06;PS;purple;PAREDES
OVAR;65.82;PSD/CDS;orange;OVAR
SANTO TIRSO;63.85;PS;purple;SANTO TIRSO
CASCAIS;54.27;PSD/CDS;orange;CASCAIS
SETUBAL;35.74;PCP-PEV;red;SETUBAL
MERTOLA;59.6;PS;purple;MERTOLA
EVORA;28.59;PCP-PEV;red;EVORA
SANTA CRUZ;63.34;PS;purple;SANTA CRUZ
OBIDOS;48.089999999999996;PSD/CDS;orange;OBIDOS
COIMBRA;45.75;PSD/CDS;orange;COIMBRA
CAMARA DE LOBOS;69.97;PSD/CDS;orange;CAMARA DE LOBOS
CAMINHA;48.72;PS;purple;CAMINHA
SINTRA;36.88;PS;purple;SINTRA
ODIVELAS;46.97;PS;purple;ODIVELAS
AMADORA;45.7;PS;purple;AMADORA
ALMADA;41.09;PS;purple;ALMADA
LISBOA;35.35;PSD/CDS;orange;LISBOA
ALVITO;51.89;PS;purple;ALVITO
MOURA;41.4;PS;purple;MOURA
MONTIJO;30.79;PS;purple;MONTIJO
VILA REAL;60.81;PS;purple;VILA REAL
BEJA;40.08;PS;purple;BEJA
MEALHADA;39.6;[MMMI];grey;MEALHADA
FARO;49.4;PSD/CDS;orange;FARO
SAO JOAO DA MADEIRA;53.72;PS;purple;SAO JOAO DA MADEIRA
ALCANENA;48.39;PSD/CDS;orange;ALCANENA
MOITA;38.95;PS;purple;MOITA
